FIRSTNAME,LASTNAME,EMAIL,PROGRAMME,COURSE
Corly,Tuminelli,ctuminelli0@ucsd.edu,Information Science,SCALA
Tybi,McCall,tmccall1@rambler.ru,Information Science,C#
Shaw,Clarae,sclarae2@bing.com,Information Science,SCALA
Darlleen,Skyrm,dskyrm3@mediafire.com,Information Science,SCALA
Zarla,Briscow,zbriscow4@newsvine.com,Information Science,SCALA
Christyna,Rooze,crooze5@cbslocal.com,Information Science,Java
Kristal,Dagwell,kdagwell6@wunderground.com,Information Science,SCALA
Kelly,Reijmers,kreijmers7@google.co.uk,ComputerScience,C#
Daniel,Janata,djanata8@phpbb.com,Information Science,Java
Booth,Banke,bbanke9@mashable.com,ComputerScience,SCALA
Rad,Tinson,rtinsona@yahoo.com,Information Science,C#
Annetta,Jeandon,ajeandonb@disqus.com,ComputerScience,SCALA
Nance,Lauga,nlaugac@elegantthemes.com,Information Science,C#
Ines,Copson,icopsond@cocolog-nifty.com,Information Science,SCALA
Cherry,Wood,cwoode@army.mil,Information Science,Java
Allistir,Gillies,agilliesf@google.es,ComputerScience,C#
Lorenza,Dominiak,ldominiakg@mysql.com,ComputerScience,Java
Buck,Kelby,bkelbyh@xrea.com,ComputerScience,C#
Venus,Peto,vpetoi@epa.gov,ComputerScience,Java
Averil,Edney,aedneyj@wufoo.com,ComputerScience,Java
Barney,Pigott,bpigottk@nydailynews.com,Information Science,Java
Lee,Anelay,lanelayl@bbc.co.uk,Information Science,SCALA
Davon,McCrea,dmccream@php.net,Information Science,Java
Corinne,Simpkins,csimpkinsn@vimeo.com,Information Science,SCALA
Nikita,Northridge,nnorthridgeo@delicious.com,Information Science,Java
Zena,Smitten,zsmittenp@nasa.gov,Information Science,C#
Sherlocke,Murby,smurbyq@simplemachines.org,Information Science,Java
Colet,Goldsbrough,cgoldsbroughr@mtv.com,ComputerScience,C#
Clarinda,Melchior,cmelchiors@indiatimes.com,Information Science,C#
Cris,Minshull,cminshullt@cnet.com,ComputerScience,C#
Neila,Keenor,nkeenoru@dedecms.com,ComputerScience,Java
Drew,Yare,dyarev@hud.gov,Information Science,C#
Mair,Rudgley,mrudgleyw@slashdot.org,ComputerScience,Java
Magdalen,Keays,mkeaysx@newyorker.com,ComputerScience,C#
Killian,Montgomery,kmontgomeryy@issuu.com,ComputerScience,C#
Ame,MacTrustam,amactrustamz@woothemes.com,Information Science,Java
Maddi,Iacovacci,miacovacci10@indiatimes.com,Information Science,C#
Kristopher,Treanor,ktreanor11@rediff.com,Information Science,SCALA
Rogers,Egarr,regarr12@ed.gov,Information Science,Java
Luci,Mowne,lmowne13@earthlink.net,ComputerScience,Java
Noel,Philipson,nphilipson14@vkontakte.ru,Information Science,C#
Goldy,Arnao,garnao15@indiegogo.com,ComputerScience,C#
Ana,Lecointe,alecointe16@hubpages.com,Information Science,SCALA
Oralee,Ambroise,oambroise17@chronoengine.com,ComputerScience,SCALA
Nicoli,Kornilyev,nkornilyev18@123-reg.co.uk,ComputerScience,C#
Letta,Rosenvasser,lrosenvasser19@addtoany.com,ComputerScience,SCALA
Brendin,Hedges,bhedges1a@google.it,ComputerScience,SCALA
